ID,title
1,"A Proclamation on National Former Prisoner of War Recognition Day, 2021"
2,"Press Briefing by Press Secretary Jen Psaki, April 15, 2021"
3,"A Proclamation on National Park Week, 2021"
4,The Pandemic鈥檚 Effect on Measured Wage Growth
5,White House Releases State-by-State Fact Sheets to Highlight Nationwide Need for the American Jobs Plan
6,Memorandum for the Secretary of State on the Emergency Presidential Determination on Refugee Admissions for Fiscal Year 2021
7,Background Press Call by Administration Officials on the President鈥檚 Discretionary Funding Request for Fiscal Year 2022
8,"A Proclamation on National Park Week, 2021"
9,President Biden Announces His Intent to Nominate Robert Santos for Director of the U.S. Census Bureau
10,The Pandemic鈥檚 Effect on Measured Wage Growth
11,A Proclamation on Honoring United States Capitol Police Officers
12,Letter to the Speaker of the House and the President of the Senate on the Termination of Emergency With Respect to the International Criminal Court
13,Unclassified Annex: Notification on the Legal and Policy Frameworks for the United States鈥?Use of Military Force and Related National Security Operations
14,Remarks by President Biden in a Faith and Community Engagement Call
15,Press Briefing by White House COVID-19 Response Team and Public Health Officials
16,Readout of White House CEO Summit on Semiconductor and Supply Chain Resilience
17,Statement from the President on the Beginning of Ramadan
18,FACT SHEET: Biden-Harris Administration Announces Initial Actions to Address the Black Maternal Health Crisis
19,"Readout of President Joseph R. Biden, Jr. Call with President Vladimir Putin of Russia"
20,"Statement from Jeff Zients, White House COVID-19 Response Coordinator on Johnson & Johnson Vaccine"
21,"A Proclamation on Black Maternal Health Week, 2021"
22,FACT SHEET: The American Jobs Plan Supports Small Businesses
23,Readout from NSC Spokesperson Emily Horne on National Security Advisor Jake Sullivan Leading a Virtual Meeting of the U.S.-Israel Strategic Consultative Group
24,A Proclamation on 160th Anniversary Of The Unification Of Italy And The Establishment Of United States-Italy Diplomatic Relations
25,Statement by President Joe Biden on Today鈥檚 Attack Outside the Capitol
26,"Press Briefing by Press Secretary Jen Psaki, March 30, 2021"
27,Remarks by President Biden at a Congressional Tribute for U.S. Capitol Police Officer William Evans
28,FACT SHEET: The American Jobs Plan
29,Readout of Vice President Kamala Harris Call with President Alejandro Giammattei of Guatemala
30,Statement by National Security Council Spokesperson Emily Horne on the U.S.-Japan-Republic of Korea Trilateral National Security Advisors鈥?Dialogue
31,"A Proclamation on National Financial Capability Month, 2021"
32,Background Press Call by a Senior Administration Official on the President鈥檚 American Jobs Plan
33,Press Briefing by White House COVID-19 Response Team and Public Health Officials
34,"A Proclamation on Transgender Day Of Visibility, 2021"
35,"A Proclamation on C茅sar Ch谩vez Day, 2021"
36,CEQ Welcomes Brenda Mallory as New Chair
37,"A Proclamation on National Sexual Assault Prevention And Awareness Month, 2021"
38,Bill Signing: H.R. 1868
39,"Readout of President Joseph R. Biden, Jr. Call with President Ashraf Ghani of Afghanistan"
40,Remarks by President Biden on the Way Forward in Afghanistan
41,Remarks by President Biden After Wreath Laying at Section 60 of Arlington National Cemetery
42,Statement by Deputy National Security Advisor for Cyber and Emerging Technology Anne Neuberger on SolarWinds and Microsoft Exchange Incidents
43,FACT SHEET: Imposing Costs for Harmful Foreign Activities by the Russian Government
44,President Biden Announces Erika L. Moritsugu as Deputy Assistant to the President and Asian American and Pacific Islander Senior Liaison
45,"Readout of President Joseph R. Biden, Jr. Call with Chancellor Angela Merkel of Germany"
46,Nominations Sent to the Senate
47,Remarks by President Biden Before Meeting with Bipartisan Group of Members of Congress to Discuss Historic Investments in the American Jobs Plan
48,Press Briefing by White House COVID-19 Response Team and Public Health Officials
49,"Press Briefing by Press Secretary Jen Psaki, April 14, 2021"
50,Remarks by Vice President Harris on the American Jobs Plan
51,"Press Briefing by Press Secretary Jen Psaki, April 19, 2021"
52,"A Proclamation on Second Chance Month, 2021"
53,"Statement by NSC Spokesperson Emily Horne on National Security Advisor Jake Sullivan鈥檚 Call with Nikolay Patrushev, Secretary of the Russian Security Council"
54,"Readout of Oval Office Meeting with Bipartisan, Bicameral Members of Congress"
55,Remarks by President Biden on the American Jobs Plan
56,"A Proclamation on National Cancer Control Month, 2021"
57,"A Proclamation on Month of the Military Child, 2021"
58,"A Proclamation on National Donate Life Month, 2021"
59,"Press Gaggle by Principal Deputy Press Secretary Karine Jean-Pierre Aboard Air Force One en route Pittsburgh, PA"
60,"President Joseph R. Biden, Jr. Approves Kentucky Disaster Declaration"
61,"A Proclamation on World Autism Awareness Day, 2021"
62,"A Proclamation on National Child Abuse Prevention Month, 2021"
63,Remarks by President Biden in Cabinet Meeting
64,Nominations Sent to the Senate
65,A Letter on Blocking Property with Respect to Specified Harmful Foreign Activities of the Government of the Russian Federation
66,Executive Order on the Termination of Emergency With Respect to the International Criminal Court
67,Notice on the Continuation of the National Emergency with Respect to Somalia
68,Letter to the Speaker of the House and the President of the Senate on the Continuation of the National Emergency with Respect to Somalia
69,Executive Order on Blocking Property with Respect to Specified Harmful Foreign Activities of the Government of the Russian Federation
70,President Biden Announces His Intent to Nominate Nine Career Members of the Senior Foreign Service as Ambassadors
71,FACT SHEET: Biden-Harris Administration Announces American Rescue Plan Funding to Rescue the Child Care Industry so the Economy Can Recover
72,Statement by National Security Council Spokesperson Emily Horne on National Security Advisor Jake Sullivan鈥檚 Call with National Security Advisor Hermogenes Esperon of the Philippines
73,FACT SHEET: The American Jobs Plan Supports Veterans
74,President Biden Announces His Intent to Nominate Key Administration Leaders in the State Department
75,Background Press Call by Senior Administration Officials on Russia
76,The Employment Situation in March
77,Remarks by President Biden Before Meeting with the Congressional Asian Pacific American Caucus Executive Committee
78,"Press Briefing by Press Secretary Jen Psaki, April 1, 2021"
79,Background Press Call on the Upcoming Trilateral Meeting with Japan and the Republic of Korea
80,Fact Sheet: First Lady Jill Biden Sets Course for the Next Phase of Joining Forces
81,"President Biden Announces his Intent to Nominate Key Roles in the Department of Interior, Department of Transportation, and Department of Veterans Affairs"
82,Strengthening our Nation鈥檚 Commitment to Preventing and Responding to Gender-Based Violence
83,"Readout of President Joseph R. Biden, Jr. Call with President Volodymyr Zelenskyy of Ukraine"
84,Readout of Vice President Kamala Harris Call with President Andr茅s Manuel L贸pez Obrador of Mexico
85,Remarks by President Biden During Tour of Vaccination Site
86,Remarks by President Biden Marking the 150 Millionth COVID-19 Vaccine Shot
87,Readout of Oval Office Meeting with Congressional Asian Pacific American Caucus (CAPAC) Leadership
88,FACT SHEET: Biden-Harris Administration Announces Initial Actions to Address the Gun Violence Public Health Epidemic
89,Press Briefing by White House COVID-19 Response Team and Public Health Officials
90,"Readout of President Joseph R. Biden, Jr. Call with King Abdullah II of Jordan"
91,Remarks by President Biden on the March Jobs Numbers
92,President Biden Announces his Intent to Nominate Key Members for the Department of Defense
93,President Biden Announces His Intent to Nominate Key Members for the U.S. Department of Homeland Security
94,Remarks by President Biden on the American Jobs Plan
95,United States-Japan-Republic of Korea Trilateral National Security Advisors鈥?Press Statement
96,Press Briefing by White House COVID-19 Response Team and Public Health Officials
97,"Press Briefing by Press Secretary Jen Psaki and Secretary of Labor Marty Walsh, April 2, 2021"
98,"Press Briefing by Press Secretary Jen Psaki and Secretary of Commerce Gina Raimondo, April 7, 2021"
99,"A Proclamation on Days of Remembrance of Victims of the Holocaust, 2021"
100,Statement by National Security Advisor Jake Sullivan on National Cyber Director and CISA Director Nominations
101,President Biden Announces His Intent to Nominate 11 Key Administration Leaders on National Security and Law Enforcement
102,Unclassified Annex: Report on the Legal and Policy Frameworks for the United States鈥?Use of Military Force and Related National Security Operations
103,Press Briefing by White House COVID-19 Response Team and Public Health Officials
104,Nominations Sent to the Senate
105,Remarks by President Biden before Meeting with Bipartisan Group of Members of Congress to Discuss the American Jobs Plan
106,"Press Briefing by Press Secretary Jen Psaki, April 12, 2021"
107,"Readout of Oval Office Meeting with Bipartisan, Bicameral Members of Congress"
108,Statement from Deputy National Security Advisor for Cyber & Emerging Technologies Anne Neuberger on New Microsoft Exchange Patches
109,"Statement by National Security Council Spokesperson Emily Horne on National Security Advisor Jake Sullivan鈥檚 call with Karin Wallensteen, State Secretary to Prime Minister Stefan L枚fven of Sweden"
110,President Biden Announces His Intent to Nominate Key Administration Leaders on Climate and Transportation
111,Background Press Call by a Senior Administration Official on Afghanistan
112,Remarks by President Biden Before Meeting with Members of the Congressional Black Caucus
113,"A Proclamation on Pan American Day and Pan American Week, 2021"
114,Readout of Oval Office Meeting with Congressional Black Caucus Executive Leadership
115,Remarks by President Biden on the Tradition of Easter at the White House
116,"Press Briefing by Press Secretary Jen Psaki, NIAID Director and Chief Medical Advisor to the President Dr. Anthony Fauci, and COVID-19 Response Coordinator Jeff Zients, April 13, 2021"
117,Remarks by Vice President Harris at Virtual Roundtable of Experts on the Northern Triangle
118,"A Proclamation on National Public Health Week, 2021"
119,Statement by National Security Council Spokesperson Emily Horne on National Security Advisor Jake Sullivan鈥檚 Call with Prime Minister Andrej Plenkovic of Croatia
120,Remarks by President Biden After Marine One Arrival
121,"President Biden Announces his Intent to Nominate Key Members for the Department of Veterans Affairs, Department of Labor, Department of Energy, and Department of Transportation"
122,"Press Briefing by Press Secretary Jen Psaki, April 5, 2021"
123,Statement of President Joe Biden on the Passing of Congressman Alcee Hastings
124,Press Briefing by White House COVID-19 Response Team and Public Health Officials
125,"Press Briefing by Press Secretary Jen Psaki, April 6, 2021"
126,Remarks by President Biden at a Virtual CEO Summit on Semiconductor and Supply Chain Resilience
127,"A Proclamation on National Fair Housing Month, 2021"
128,"Statement from National Security Advisor Jake Sullivan on the Service of Ambassador Jacobson, Coordinator for the Southwest Border"
129,Pandemic Prices:  Assessing Inflation in the Months and Years Ahead
130,Remarks by President Biden on the Weekly Economic Briefing
131,"Statement by NSC Spokesperson Emily Horne on Senior Administration Official Travel to Colombia, Argentina, and Uruguay"
132,Statement by President Joe Biden on the Electric Battery Dispute Settlement
133,President Biden Announces his Intent to Nominate Robin Carnahan as Administrator of the General Services Administration (GSA)
134,Remarks by President Biden on Gun Violence Prevention
135,"Press Briefing by Press Secretary Jen Psaki and Secretary of Transportation Pete Buttigieg, April 9, 2021"
136,Statement by National Security Council Spokesperson Emily Horne on National Security Advisor Jake Sullivan鈥檚 Call with Ethiopian Deputy Prime Minister Demeke Mekonnen
137,FACT SHEET: More Details on the Biden-Harris Administration鈥檚 Investments in Community Violence Interventions
138,Executive Order on the Establishment of the Presidential Commission on the Supreme Court of the United States
139,Statement by Deputy National Security Advisor for Cyber and Emerging Technology Anne Neuberger on SolarWinds and Microsoft Exchange Incidents
140,"Statement by NSC Spokesperson Emily Horne on National Security Advisor Jake Sullivan鈥檚 Call with Nikolay Patrushev, Secretary of the Russian Security Council"
141,"President Joseph R. Biden, Jr. Approves Washington Disaster Declaration"
142,"Press Briefing by Press Secretary Jen Psaki and Secretary of Energy Jennifer Granholm, April 8, 2021"
143,Remarks by President Biden Before Meeting with Bipartisan Group of Members of Congress to Discuss Historic Investments in the American Jobs Plan
144,Nominations Sent to the Senate
145,"Readout of Oval Office Meeting with Bipartisan, Bicameral Members of Congress"
146,Press Briefing by White House COVID-19 Response Team and Public Health Officials
147,Remarks by Vice President Harris on the American Jobs Plan
148,"Press Briefing by Press Secretary Jen Psaki, April 19, 2021"
149,Remarks by President Biden on Russia
150,Statement by President Joe Biden and First Lady Jill Biden on the Passing of Prince Philip of the United Kingdom
151,Remarks by Vice President Harris on Gun Violence Prevention
152,Background Press Call by a Senior Administration Official on the Official Working Visit of Japan
153,Statement from President Joe Biden on House Passage of the Paycheck Fairness Act
154,"A Proclamation on Honoring the Victims of the Tragedy in Indianapolis, Indiana"
155,Press Briefing by White House COVID-19 Response Team and Public Health Officials
156,President Biden Announces His Intent to Nominate Eight Key Administration Leaders
157,President Biden to Sign Executive Order Creating the Presidential Commission on the Supreme Court of the United States
158,Statement by聽Press Secretary Jen Psaki on the Emergency Presidential Determination on Refugee Admissions for Fiscal Year 2021
159,"A Proclamation on National Crime Victims鈥?Rights Week, 2021"
160,"A Proclamation on National Volunteer Week, 2021"
161,"Press Briefing by Press Secretary Jen Psaki, April 16, 2021"
162,Fact Sheet: Biden Administration Invests $4 Billion in American Rescue Plan Funding to Combat COVID-19 in Indian Country
163,U.S.- Japan Joint Leaders鈥?Statement: 鈥淯.S. 鈥?JAPAN GLOBAL PARTNERSHIP FOR A NEW ERA鈥?
164,"Statement from President Joe Biden on the Mass Shooting in Indianapolis, Indiana"
165,Fact Sheet: U.S.-Japan Competitiveness and Resilience (CoRe) Partnership
166,Press Briefing by White House COVID-19 Response Team and Public Health Officials
167,Remarks by President Biden and Prime Minister Suga of Japan at Press Conference
168,Remarks by Vice President Harris and Prime Minister Suga of Japan Before Bilateral Meeting
169,Fact Sheet: Biden Administration Announces $1.7 Billion Investment to Fight COVID-19 Variants
170,Remarks by President Biden and Prime Minister Suga of Japan Before Bilateral Meeting
171,Press Briefing by White House COVID-19 Response Team and Public Health Officials
172,FACT SHEET: President Biden Announces 90% of the Adult U.S. Population will be Eligible for Vaccination and 90% will have a Vaccination Site Within 5 Miles of Home by April 19
173,"President Biden Announces his Intent to Nominate Key Members for the Department of Labor, Department of Transportation, Equal Employment Opportunity Commission, Department of Veterans Affairs, and Appalachian Regional Commission"
174,Letter to the Speaker of the House and the President of the Senate on the Continuation of the National Emergency With Respect to South Sudan
175,Letter to the Speaker of the House and the President of the Senate on the Continuation of the National Emergency With Respect to Significant Malicious Cyber-Enabled Activities
176,Press Briefing by White House COVID-19 Response Team and Public Health Officials
177,Remarks by President Biden on the Anniversary of the Affordable Care Act
178,"President Biden Announces his Intent to Nominate Assistant Secretary for Preparedness and Response, Department of Health and Human Services"
179,COVID-19 has exacerbated the economic inequality and caregiving crisis facing women of color. Here鈥檚 how the American Rescue Plan helps.
180,Nominations Sent to the Senate
181,Press Briefing by White House COVID-19 Response Team and Public Health Officials
182,Readout of Vice President Kamala Harris Meeting with First Minister Arlene Foster and Deputy First Minister Michelle O鈥橬eill of Northern Ireland
183,Nomination Sent to the Senate
184,"Press Briefing by Press Secretary Jen Psaki and Special Assistant to the President and Coordinator for the Southern Border Ambassador Roberta Jacobson, March 10, 2021"
185,President Biden Announces Intent to Nominate Key Roles for the Department of Treasury
186,"Press Gaggle by Principal Deputy Press Secretary Karine Jean-Pierre Aboard Air Force One En Route Atlanta, Georgia"
187,Joint Message on the Passing of 10 Years Since the Great East Japan Earthquake
188,Remarks by President Biden at Event with the CEOs of Johnson & Johnson and Merck
189,"Statement by White House Press Secretary Jen Psaki on the Virtual Bilateral Meeting between President Joe Biden and Miche谩l Martin, Taoiseach of Ireland"
190,Statement by President Biden on the Introduction of the Violence Against Women Reauthorization Act of 2021
191,"Press Briefing by Press Secretary Jen Psaki, Co-Chair of the Gender Policy Council and Chief of Staff to the First Lady Julissa Reynoso, and Co-Chair and Executive Director of the Gender Policy Council Jennifer Klein, March 8, 2021"
192,Remarks by President Biden on International Women鈥檚 Day
193,President Biden Announces Key Hire for the Office of Management and Budget
194,White House Announces Additional Staff
195,Background Press Call by Senior Administration Officials on Venezuela
196,Statement by Press Secretary Jen Psaki on the 14th Anniversary of the Abduction of Robert Levinson
197,"Remarks by President Biden, Prime Minister Modi of India, Prime Minister Morrison of Australia, and Prime Minister Suga of Japan in the Virtual Quad Leaders Summit"
198,Remarks by President Biden During Tour of W.S. Jenks & Son
199,"President Joseph R. Biden, Jr. Approves Louisiana Disaster Declaration"
200,Statement by President Joe Biden on the House Taking Up the PRO Act
201,Remarks by Vice President Harris on the American Rescue Plan
202,Fact Sheet: President Biden Expands Efforts to Recruit More Vaccinators
203,Statement by National Security Advisor Jake Sullivan on Supporting Elections in Libya
204,Quad Leaders鈥?Joint Statement: 鈥淭he Spirit of the Quad鈥?
205,Fact Sheet: Quad Summit
206,The White House Gender Policy Council: A Message from the Co-Chairs
207,Press Briefing by White House COVID-19 Response Team and Public Health Officials
208,President Biden Announces Rose Vela as Director of the President鈥檚 Commission on White House Fellowships
209,Readout from NSC Spokesperson Emily Horne on National Security Advisor Jake Sullivan Leading the First Virtual Meeting of the U.S.-Israel Strategic Consultative Group
210,President Biden Announces Intent to Nominate Key Role for the Department of Health and Human Services
211,"Fact Sheet: President Biden to Announce All Americans to be Eligible for Vaccinations by May 1, Puts the Nation on a Path to Get Closer to Normal by July 4th"
212,Bill Signing: H.R. 1319
213,Remarks by President Biden at Signing of the American Rescue Plan
214,"Press Briefing by Press Secretary Jen Psaki, March 11, 2021"
215,Remarks by President Biden on the Anniversary of the COVID-19 Shutdown
216,Readout of Vice President Kamala Harris Call with Prime Minister Erna Solberg of Norway
217,The American Rescue Plan Passed 鈥?Now What?
218,Readout of the White House鈥檚 Meeting with Climate Finance Leaders
219,Statement by President Joe Biden on the House Passage of the American Rescue Plan
220,Statement by NSC Spokesperson Emily Horne on National Security Advisor Jake Sullivan Leading the First Virtual Meeting of the U.S.-Israel Strategic Consultative Group
221,Press Briefing by White House COVID-19 Response Team and Public Health Officials
222,"Press Briefing by Press Secretary Jen Psaki and Deputy Director of the National Economic Council聽Bharat Ramamurti, March 9, 2021"
223,"Press Briefing by Press Secretary Jen Psaki and National Security Advisor Jake Sullivan, March 12, 2021"
224,Background Press Call by Senior Administration Officials on the Administration鈥檚 Response to the Microsoft and SolarWinds Intrusions
225,Remarks by President Biden on the American Rescue Plan
226,Statement by NSC Spokesperson Emily Horne on National Security Advisor Jake Sullivan鈥檚 Call with Colombian Minister of Defense Diego Molano and Chief of Staff to the President of Colombia Maria Paula Correa
227,Nominations Sent to the Senate
228,Nominations Sent to the Senate
229,Press Briefing by White House COVID-19 Response Team and Public Health Officials
230,President Biden Announces his Intent to Nominate Key Members of his Administration
231,"Press Briefing by Press Secretary Jen Psaki, March 15, 2021"
232,Pre-Taped Remarks by Vice President Kamala Harris As Delivered to the Commission on the Status of Women
233,Remarks by President Biden on the Implementation of the American Rescue Plan
234,"Statement by NSC Spokesperson Emily Horne on National Security Advisor Jake Sullivan鈥檚 Call with Counterparts from France, Germany, and the United Kingdom"
235,Remarks by President Biden During Visit to Smith Flooring Inc.
236,"Press Gaggle by Press Secretary Jen Psaki Aboard Air Force One En Route Chester, PA"
237,Fact Sheet: The United States-Ireland Partnership
238,Background Press Call by Senior Administration Officials on President Biden鈥檚 Upcoming Virtual Bilateral with Ireland
239,Statement by NSC Spokesperson Emily Horne on National Security Advisor Jake Sullivan鈥檚 Call with NATO Secretary General Jens Stoltenberg
240,Statements by Press Secretary Jen Psaki & Deputy National Security Advisor for Cyber Anne Neuberger on Microsoft Exchange Vulnerabilities UCG
241,"President Biden Announces his Intent to Nominate Jose W. Fernandez as Under Secretary of State (Economic Growth, Energy and the Environment)"
242,Statement by President Biden on the American Dream and Promise Act of 2021
243,Joint Statement by President Joe Biden and Taoiseach Miche谩l Martin
244,Remarks by President Biden and Prime Minister Martin of Ireland Before Virtual Bilateral Meeting
245,"Press Briefing by Press Secretary Jen Psaki and Secretary of Housing and Urban Development Marcia L. Fudge, March 18, 2021"
246,Remarks by President Biden on the 100 Million Shot Goal
247,President Biden Hosts Virtual Gathering of UN Security Council Permanent Representatives
248,Statement by President Biden on the COVID-19 Hate Crimes Act
249,President Biden Announces his Intent to Nominate Bill Nelson for the National Aeronautics and Space Administration
250,Remarks by Vice President Harris at Emory University
251,Readout of the First Principals Committee Meeting on Advancing Equity
252,Statement by President Biden on the Farm Workforce Modernization Act of 2021
253,Financial Disclosure Reports Now Available
254,"Press Briefing by Press Secretary Jen Psaki and Secretary of Education Miguel Cardona, March 17, 2021"
255,Remarks by President Biden and Vice President Harris During a Briefing at the Centers for Disease Control and Prevention
256,Statement by President Biden on the Passage of the Violence Against Women Reauthorization Act of 2021 in the House of Representatives
257,Statement on the House of Representatives Passage of House Joint Resolution 17
258,Statement by President Biden Applauding House Passage of Paycheck Protection Program Extension
259,Statement by National Security Advisor Jake Sullivan on Senator Christopher Coons (D-DE) Travel to Ethiopia
260,Readout of the Second National Climate Task Force Meeting
261,Press Briefing by White House COVID-19 Response Team and Public Health Officials
262,Statement by President Biden on Turkey鈥檚 Withdrawal from the Istanbul Convention
263,Remarks by President Biden at Emory University
264,Fact Sheet: U.S. Efforts to Combat Systemic Racism
265,Statement from President Biden Marking Nowruz
266,A Proclamation on Honoring the Victims of the Tragedy in the Atlanta Metropolitan Area
267,"A Proclamation on National Poison Prevention Week, 2021"
268,Remarks by President Biden After Marine One Arrival
269,Statement by President Biden on the International Day for the Elimination of Racial Discrimination
270,"President Joseph R. Biden, Jr. Amends Territory of Guam Disaster Declaration"
271,Statement by NSC Spokesperson Emily Horne on Senior Administration Official Travel to Mexico and Guatemala
272,"President Joseph R. Biden, Jr. Amends Commonwealth of the Northern Mariana Islands Disaster Declaration"
273,President Biden Announces his Intent to Nominate Lina Khan for Commissioner of the Federal Trade Commission
274,"A Proclamation on National Agriculture Day, 2021"
275,Statement by NSC Spokesperson Emily Horne on National Security Advisor Jake Sullivan and National Economic Council Director Brian Deese鈥檚 Small and Less Populous Island Economies (SALPIE) Initiative Launch Event
276,Press Briefing by White House COVID-19 Response Team and Public Health Officials
277,FACT SHEET: Small and Less Populous Island Economies (SALPIE) Initiative
278,"Press Briefing by Press Secretary Jen Psaki, March 22, 2021"
279,"A Proclamation on National Equal Pay Day, 2021"
280,Bill Signing: H.R. 1276
281,Remarks by President Biden After Marine One Arrival
282,Press Briefing by White House COVID-19 Response Team and Public Health Officials
283,President Biden Announces his Intent to Nominate Adrianne Todman as Deputy Secretary for Housing and Urban Development
284,FACT SHEET: Biden Administration Announces Historic $10 Billion Investment to Expand Access to COVID-19 Vaccines and Build Vaccine Confidence in Hardest-Hit and Highest-Risk Communities
285,Nominations Sent to the Senate
286,Remarks by President Biden and Vice President Harris in a Meeting on Immigration
287,"A Proclamation on Greek Independence Day: A National Day of Celebration of Greek and American Democracy, 2021"
288,Remarks by President Biden in Press Conference
289,"Press Briefing by Press Secretary Jen Psaki, Chair of the Council of Economic Advisers Cecilia Rouse, and Member of the Council of Economic Advisers Heather Boushey, March 24, 2021"
290,Remarks by President Biden at an Event to Mark Equal Pay Day
291,"A Proclamation Honoring the Victims of the Tragedy in Boulder, Colorado"
292,Nominations Sent to the Senate
293,Statement by NSC Spokesperson Emily Horne on Senior Administration Official Travel to Mexico
294,"Readout of President Joseph R. Biden, Jr. Call with Prime Minister Kyriakos Mitsotakis of Greece"
295,President Biden Participates in European Council Summit
296,Withdrawal Sent to the Senate
297,Readout of the White House鈥檚 Meeting with Oil and Gas Company Leadership
298,Bill Signing: S. 579
299,President Biden to Meet Virtually with EU Leaders at European Council Summit
300,"Remarks by President Biden on the Shooting in Boulder, Colorado"
301,Statement by President Biden on the Attack on the Right to Vote in Georgia
302,President Biden Invites 40 World Leaders to Leaders Summit on Climate
303,"A Proclamation on Education and Sharing Day, USA, 2021"
304,"Press Gaggle by Press Secretary Jen Psaki Aboard Air Force One en route Columbus, Ohio"
305,Remarks by President Biden During Tour of Radiation Oncology Department
306,Remarks by President Biden Before Boarding Air Force One
307,Background Press Call by Senior Administration Officials on the Democratic People鈥檚 Republic of Korea
308,Statement from the President on Passover
309,President Biden Announces his Intent to Nominate Key Members for the Department of State
310,"Press Briefing by Press Secretary Jen Psaki, March 26, 2021"
311,Remarks by President Biden Before Marine One Departure
312,Remarks by President Biden After Air Force One Arrival
313,Remarks by President Biden in a Virtual Fundraiser for Mayor Keisha Lance Bottoms
314,"Readout of President Joseph R. Biden, Jr. Call with Prime Minister Boris Johnson of the United Kingdom"
315,FACT SHEET: The Biden-Harris Administration鈥檚 Multi-Agency Effort to Support Renters and Landlords
316,Bill Signing: H.R. 1651
317,"President Joseph R. Biden, Jr. Approves Disaster Declaration for the Poarch Band of Creek Indians"
318,Notice on the Continuation of the National Emergency with Respect to South Sudan
319,White House Announces Environmental Justice Advisory Council Members
320,Remarks by President Biden Before Air Force One Departure
321,Notice on the Continuation of the National Emergency with Respect to Significant Malicious Cyber-Enabled Activities
322,FACT SHEET: Biden Administration Jumpstarts Offshore Wind Energy Projects to Create Jobs
323,Approaching Policy with Equity in Mind
324,"Press Briefing by Press Secretary Jen Psaki, March 29, 2021"
325,"FACT SHEET: President Biden Announces Additional Actions to Respond to Anti-Asian Violence, Xenophobia and Bias"
326,Statement by NSC Spokesperson Emily Horne on National Security Advisor Jake Sullivan鈥檚 Call with Head of Presidential Office Andriy Yermak of Ukraine
327,Remarks by President Biden on the COVID-19 Response and the State of Vaccinations
328,Remarks by President Biden at Signing of the PPP Extension Act of 2021
329,President Biden Announces Intent to Nominate 11 Judicial Candidates
330,Bill Signing: H.R. 1799
331,Fact Sheet: President Biden to Sign Executive Orders Establishing the White House Gender Policy Council and Ensuring Education Free from Sexual Violence
332,Notice on the Continuation of the National Emergency with Respect to Iran
333,Readout of Visit to the Border Region by Senior Administration Officials
